agent,build,chore,ci,docs,feat,fix,other,perf,refactor,revert,style,test
Claude_Code,0.04423776455026451,3.929145833333333,0.010677083333333275,1.419413097993827,1.7125293427230048,2.928580948372615,,0.2376331018518518,1.874451566951567,,,0.3332947530864197
Copilot,2.980592013888889,2.221631102693603,1.398923335537919,3.8194093475219826,3.432961040055087,3.381178528380451,,2.10756462191358,3.3901015142746918,1.1362355324074076,0.9713233024691358,3.172119763205829
Cursor,0.1688749035493827,0.6642476851851852,0.6383317901234568,0.5069733796296295,0.9622074123855038,0.8737362841043891,0.0006404320987654001,0.12525568181818178,1.376864872685185,,0.3400587606837607,1.6916636473429951
Devin,0.2766482107107107,0.5347052614721639,0.713774112654321,3.383525510097201,1.7623616926104848,0.9447731179173576,,2.2323463804713803,0.9712727281212664,0.6691059027777777,0.12242170479302829,1.5493163449466414
OpenAI_Codex,0.1754096747040295,1.0013062728221178,0.28633797311565945,0.18848135836342883,0.32284381395859946,0.5881073069396041,,0.24859756698187543,0.4342166190147556,0.13229456018518518,0.11141508838383835,0.22711195892394448
