agent,build,chore,ci,docs,feat,fix,other,perf,refactor,revert,style,test
Claude_Code,7.0,10.0,4.0,24.0,142.0,66.0,,2.0,13.0,,,3.0
Copilot,60.0,55.0,42.0,278.0,632.0,845.0,,12.0,144.0,4.0,6.0,61.0
Cursor,24.0,37.0,15.0,154.0,372.0,281.0,3.0,11.0,72.0,,13.0,23.0
Devin,37.0,159.0,36.0,442.0,1035.0,536.0,,22.0,248.0,4.0,17.0,59.0
OpenAI_Codex,341.0,355.0,228.0,2369.0,8089.0,3539.0,,141.0,1127.0,4.0,110.0,1701.0
